metric,estimate,ci_lower,ci_upper
Aitchison_distance_median,3.660067613179246,3.591482164079134,3.7028132678006345
Aitchison_distance_95th_percentile,5.954560681896232,5.902115095346033,6.008864106235339
Aitchison_distance_max,6.335682331446922,,
Gene-wise_U75_median_pp,1.1635557364531337,1.155336535062477,1.17578413243844
Gene-wise_U95_median_pp,1.8539825928707208,1.8343913015600044,1.8774162716721172
