bootstrap_rep,aitchison_median,aitchison_p95,U75_median_pp,U95_median_pp
1,3.6351392459497394,5.9857436222187275,1.1564757716062246,1.841370100005678
2,3.683225652979759,5.939769318463857,1.1598615464807813,1.862027487489675
3,3.64559777042119,5.952694862498062,1.1653636565583614,1.8784476471531146
4,3.7108964987089643,5.952848137412824,1.1680916392537968,1.8654515101268545
5,3.67560003803555,5.943360363834399,1.1639156930825143,1.8610195704832948
6,3.6830158731453184,5.955402358077214,1.1718188385359207,1.869641186584758
7,3.7069640174791547,5.968497445963797,1.1794453731376404,1.8751629392228848
8,3.632453178557819,5.964512686182314,1.1621052953224515,1.8658044355805374
9,3.6296681837894496,5.964626198057736,1.168242096295956,1.836844623307984
10,3.6951524271345613,5.962842987967171,1.1691781008864364,1.856315053568589
11,3.676764946248279,5.96199642439658,1.1617130969706824,1.835609940149828
12,3.671396898694332,5.943778574668017,1.1700248462079608,1.8615462302765082
13,3.6656785579440636,5.994378379673265,1.1574240414802859,1.863861553544659
14,3.688980258899043,5.939315968413432,1.1648495908836667,1.8631868833341994
15,3.662337979175069,5.963473452276244,1.169853867353313,1.8616847900744498
16,3.633104968390481,5.938215216649401,1.1638882950937182,1.8475860013957304
17,3.573172021754664,5.897395774383963,1.1646644796521257,1.8701678787196807
18,3.6390377274935672,5.982230098251815,1.1622105208065783,1.8712880261317526
19,3.6804109535368608,5.936258804958871,1.16165925439936,1.8625031695249374
20,3.649512772389026,5.921523820559601,1.1771680987147999,1.8560618052080513
21,3.6810440274918865,5.954377611958565,1.1687788362844462,1.8644683512203466
22,3.688965338629376,5.970945684958236,1.1686406072329625,1.846079356895197
23,3.6506180427002,5.958483958958917,1.1607583761172893,1.8521889343599434
24,3.6836998729125052,5.99656462751138,1.1724019013375853,1.836398173971669
25,3.6248042357084924,5.999415527626872,1.162932746414938,1.8422150067510175
26,3.633304853943955,5.923156765176426,1.1645256598396165,1.8409983245977126
27,3.683302621857241,5.934479256210915,1.166530101604238,1.8439174012713955
28,3.632819592964001,5.9371666726977015,1.1650537930667377,1.8491807822671165
29,3.670187037207569,5.924217688318337,1.162852457193047,1.866337625098216
30,3.6654656336962934,5.945064908245428,1.1615803529485444,1.857099840349453
31,3.664390061896002,5.968551736170085,1.1684166764383872,1.8641088429376254
32,3.6159226310409323,5.919633786361106,1.1688137958728049,1.8609019158057039
33,3.6344096259654237,5.959965550389469,1.1673510204343658,1.8457766648030431
34,3.6434171975919667,5.95202162142961,1.1486636605221379,1.8404817501513069
35,3.6423973425496228,5.9579609508380145,1.1544680620169434,1.8606477292200712
36,3.6416656896644866,5.965005332874292,1.1674924147649144,1.8435998658342523
37,3.6724954574562467,5.978077113745992,1.172313363036362,1.8565672356720304
38,3.6511539698976416,5.953827601651493,1.1687913463505706,1.8568895099795864
39,3.6595169798123393,5.923797331923557,1.1632346252756918,1.8530402255648344
40,3.6178883059335796,5.985927483932194,1.1666593566872054,1.8554845370521615
41,3.700062743988033,5.965162794606777,1.162328117841821,1.8531241548221038
42,3.6383324182857977,5.937187619517507,1.1618200130786906,1.8456507446817656
43,3.61773607548559,5.916466606046822,1.1606418628081725,1.8606250847509147
44,3.6756595627171604,5.955512232523435,1.1646385944792752,1.8485527822626984
45,3.635745033910156,5.909262080802461,1.161527337723091,1.8767660402053983
46,3.633947145739349,5.931756669113625,1.1631343989359726,1.842891562137428
47,3.651164358718497,5.951678371975829,1.1582854634476345,1.8401933463243507
48,3.6518188248952796,5.97686465227457,1.162019997442422,1.8688528500560988
49,3.664313793548871,5.963751795126347,1.16575012706485,1.8437100849181776
50,3.6841068404947603,5.997345788603431,1.1679110040181613,1.8783391360263533
51,3.6367787955641373,5.956629194499067,1.1748921889898007,1.8749803790553754
52,3.656783313977158,5.9756813283908805,1.1583595911442424,1.8461190638948495
53,3.6329643928195243,5.923808072229674,1.1702045090760604,1.8445383025772242
54,3.672191307993258,5.949288799770094,1.1669432249490659,1.8590846559515106
55,3.670077755828988,6.008588797325873,1.171154637065305,1.8344458594305866
56,3.684721565952393,5.957437479713094,1.1621367376942746,1.8639043157335253
57,3.6344719279581406,5.9028027928529685,1.166457702466146,1.8729554214281237
58,3.6632083116518097,5.976688630832205,1.1712680072034893,1.8440455015244916
59,3.691812908919487,5.976813974165873,1.1683884061730796,1.858450793001963
60,3.6088188789825795,5.971151840800932,1.1768924226021447,1.843854060466152
61,3.6213312255503656,5.948221161383354,1.1683307105401626,1.8623649424511717
62,3.6643022222898614,5.974447984008987,1.1597471120448364,1.8651453400426041
63,3.6437318135518315,5.936181467336946,1.1653172778271348,1.8525441051657188
64,3.673125775951055,5.98750433787228,1.1672326101975394,1.856381247819325
65,3.6408656316457058,5.937643243710605,1.1682773079530895,1.8530266820308205
66,3.6990392810673454,6.004323392134419,1.1620300163389277,1.8571531238566568
67,3.634945744052393,5.9672813322924885,1.1597736956224522,1.8365644184238463
68,3.641779888550359,5.922232424832082,1.166346656656196,1.8692107236677273
69,3.6472045141841334,5.951770067982819,1.1599175159397397,1.862189138950255
70,3.6576236035670475,5.983946732761176,1.169248785747681,1.8563030392710143
71,3.6308785792014118,5.929056564982541,1.163457080726146,1.8480033130748756
72,3.613682635026683,5.941752560825962,1.1655109819683422,1.8629901865517944
73,3.686155895861556,5.9717806637186,1.16573629879081,1.8454801306621258
74,3.6782640980334866,5.9956476854295735,1.1603331854558427,1.836209777950288
75,3.6285972032317093,5.984856006134078,1.1774238932465537,1.8744534725181405
76,3.614822354817874,5.949629883177703,1.1592900603650935,1.8554400846740946
77,3.639636061316508,5.969649195696685,1.1772633144901485,1.8514123869854258
78,3.6335908622854793,5.944391364920763,1.1633987093633662,1.8488942207457084
79,3.6525014559260414,5.9336147342594225,1.1646279178306065,1.8463799831534966
80,3.65357134821598,5.964578796107263,1.1661564575979382,1.8580141017764693
81,3.69558677646419,5.982737283226784,1.1654353620176927,1.865615389301095
82,3.614667056359758,5.957499908471425,1.1585123146923726,1.8581000631008089
83,3.6990919063651524,5.9977234653752305,1.1652358973249082,1.863431648239484
84,3.63133401466351,5.965346518267702,1.1706612567866155,1.8690255307278123
85,3.652610389805636,5.970118813349777,1.1567571377105157,1.847809927048652
86,3.6856812477130507,5.947133986007846,1.1641684035854747,1.841951697595165
87,3.6273560589203693,5.987306713470817,1.165167990315748,1.8468142816765378
88,3.6399892942220538,5.933762225230946,1.159029476075917,1.8523230534621566
89,3.654500367543061,5.969486766496575,1.1677431357840624,1.8398274717208243
90,3.6847784196516806,5.969119758146751,1.1704419725325756,1.853595408021349
91,3.5755134357898104,5.922466810556005,1.1574105517455322,1.8745059292623658
92,3.6649721180540458,5.99582248563853,1.172150942705533,1.8573472662365271
93,3.7053067477450687,6.003860239673174,1.1624174284207505,1.879811155670899
94,3.625169113713787,5.944852951840117,1.159375850792197,1.8606491466279942
95,3.6304333720757493,5.954679802989929,1.1604101860390017,1.877367435543031
96,3.648840367181459,6.007120979013955,1.1626533049771237,1.8622976465934422
97,3.6217113381229518,5.942169609540548,1.174038310021157,1.8542838321750987
98,3.608465020011745,5.928321358260462,1.1705151075084999,1.847004901888573
99,3.583192000492254,5.920205335182092,1.1650253173656437,1.829332164333806
100,3.6699084663426005,5.988887944523492,1.1595670492525998,1.8443195580444938
101,3.6885761514251483,5.9375963390754825,1.1747277568102203,1.857295936082465
102,3.669289636876536,5.9917422959513456,1.173061991516791,1.857632071096834
103,3.647886213353235,5.9662498983308225,1.1633896086934654,1.8310387985396457
104,3.5916354372530304,5.898943885943685,1.1735766107135097,1.8633528865721405
105,3.646971711632552,5.968805405228916,1.1641787942667305,1.8629255361914034
106,3.6609684843511054,5.992633917886747,1.1652239618478646,1.88478601963467
107,3.6528911661182297,5.973810758485336,1.1656010433937483,1.870679396577488
108,3.6648477216521878,5.942129103913332,1.1596201971707654,1.8530862738623517
109,3.6166618616018136,5.915219308229643,1.1637603244797547,1.8546295132738564
110,3.654990112921293,5.975671942067916,1.1680773881267672,1.8482433740397397
111,3.586203392449921,5.921159257263314,1.1592199604228475,1.878510496254808
112,3.6338806560331967,5.929219307500127,1.1632205350756557,1.8629526794355389
113,3.6356989443347705,5.944587834700021,1.1605526178349295,1.849179880531766
114,3.6844095199854783,5.938738689497677,1.1513035996754515,1.8513834865827465
115,3.6742741533640166,5.954756111117145,1.1616808341748546,1.861466509635393
116,3.6315078945427963,5.928490414643958,1.1688465392774225,1.8330559249746974
117,3.6597683542185515,5.949019156019713,1.1676512383475717,1.8616300616355863
118,3.6827212035631085,5.965932862991529,1.1682123426738515,1.8371750186794136
